city,time,humidity,pressure_mb,temp,wind_dir,wind_speed
Kolkata,2025-05-27T18:42:57.550711,89,998,29.1,ENE,7.4
Sikkim,2025-05-27T18:13:01.478832,91,1004,21.3,NNW,3.6
Hyderabad,2025-05-27T18:13:01.136419,89,1003,23.8,WNW,6.5
Pune,2025-05-27T18:13:00.797461,95,1005,23.1,WSW,8.9
Patna,2025-05-27T18:13:00.454881,67,998,32.3,ESE,10.7
Dehradun,2025-05-27T18:13:00.115481,55,1001,25,NE,4.5
Kashmir,2025-05-27T18:12:59.780884,13,995,39.4,WSW,7.6
Chennai,2025-05-27T18:12:59.435682,75,1002,30.4,WSW,17.7
Mumbai,2025-05-27T18:12:59.097969,84,1003,26.3,W,11.9
Delhi,2025-05-27T18:12:58.732623,43,1026,21.2,ENE,6
Bangalore,2025-05-27T18:12:58.236952,88,1011,22.2,WSW,16.1
Kolkata,2025-05-27T18:12:57.720636,89,998,29.3,E,7.2
Sikkim,2025-05-27T17:43:01.451252,91,1004,21.3,NNW,3.6
Hyderabad,2025-05-27T17:43:01.091176,94,1005,24.1,WNW,6.5
Pune,2025-05-27T17:43:00.722820,95,1005,23.1,WSW,8.9
Patna,2025-05-27T17:43:00.389910,67,998,32.1,ESE,10.7
Dehradun,2025-05-27T17:43:00.048375,55,1001,25,NE,4.5
Kashmir,2025-05-27T17:42:59.709257,13,995,39.6,WSW,9.2
Chennai,2025-05-27T17:42:59.204013,71,1001,31,WSW,17.7
Mumbai,2025-05-27T17:42:58.699313,84,1003,26.2,W,11.9
Delhi,2025-05-27T17:42:58.346909,43,1026,21.2,ESE,11.9
Bangalore,2025-05-27T17:42:58.005851,88,1010,22.3,WSW,16.1
Kolkata,2025-05-27T17:42:57.488823,89,998,29.4,E,7.2
Sikkim,2025-05-27T17:13:01.310231,90,1005,21.6,N,3.8
Hyderabad,2025-05-27T17:13:00.968494,94,1005,24.4,WNW,12.5
Pune,2025-05-27T17:13:00.627667,93,1005,23.3,W,8.1
Patna,2025-05-27T17:13:00.278794,67,998,32.2,E,11.9
Dehradun,2025-05-27T17:12:59.929224,55,1001,25.3,NE,4.7
Kashmir,2025-05-27T17:12:59.594601,13,995,39.6,WSW,9.2
Chennai,2025-05-27T17:12:59.248327,71,1001,31.3,WSW,15.7
Mumbai,2025-05-27T17:12:58.886375,84,1003,26.4,W,12.1
Delhi,2025-05-27T17:12:58.537947,49,1026,20.1,ENE,6
Bangalore,2025-05-27T17:12:58.161050,88,1010,22.1,WSW,17.2
Kolkata,2025-05-27T17:12:57.614652,89,998,29.1,E,6.9
Sikkim,2025-05-27T16:43:01.076236,88,1004,21.7,N,4.5
Hyderabad,2025-05-27T16:43:00.710984,94,1005,24.3,W,15.7
Pune,2025-05-27T16:43:00.350799,96,1005,23.3,WSW,5.8
Patna,2025-05-27T16:43:00.007722,67,998,32,E,12.5
Dehradun,2025-05-27T16:42:59.668219,54,1000,25.7,NE,5.1
Kashmir,2025-05-27T16:42:59.329214,10,993,41.8,W,8.1
Chennai,2025-05-27T16:42:58.988768,71,1001,31.2,WSW,17
Mumbai,2025-05-27T16:42:58.645951,84,1003,26.3,WSW,17
Delhi,2025-05-27T16:42:58.291922,44,1025,20.3,ESE,12.1
Bangalore,2025-05-27T16:42:57.945693,83,1010,23.3,WSW,17.7
Kolkata,2025-05-27T16:42:57.428943,89,998,29.3,SSE,3.8
Sikkim,2025-05-27T16:13:01.133196,86,1004,22.3,N,4.3
Hyderabad,2025-05-27T16:13:00.790799,89,1004,24.1,W,11.9
Pune,2025-05-27T16:13:00.428055,94,1005,23.4,W,5.4
Patna,2025-05-27T16:13:00.085618,63,998,32.1,E,12.8
Dehradun,2025-05-27T16:12:59.731392,52,1000,26.1,NE,5.4
Kashmir,2025-05-27T16:12:59.390790,10,993,41.8,W,8.1
Chennai,2025-05-27T16:12:59.050111,71,1001,31.4,WSW,15.2
Mumbai,2025-05-27T16:12:58.702271,84,1002,26.3,WSW,17.4
Delhi,2025-05-27T16:12:58.370187,49,1026,19.4,ESE,12.1
Bangalore,2025-05-27T16:12:58.007043,89,1010,23.2,WSW,17.9
Kolkata,2025-05-27T16:12:57.489498,89,998,29.2,SSE,4.9
Sikkim,2025-05-27T15:43:01.144097,86,1004,22.3,N,4.3
Hyderabad,2025-05-27T15:43:00.804541,94,1005,24.3,W,11.9
Pune,2025-05-27T15:43:00.454636,94,1005,23.4,W,5.4
Patna,2025-05-27T15:43:00.003120,59,997,33,E,12.8
Dehradun,2025-05-27T15:42:59.672258,52,1000,26.1,NE,5.4
Kashmir,2025-05-27T15:42:59.306858,10,992,42.1,WSW,9.4
Chennai,2025-05-27T15:42:58.962414,75,1001,30,WSW,15.2
Mumbai,2025-05-27T15:42:58.613207,84,1002,26.2,WSW,17.4
Delhi,2025-05-27T15:42:58.044795,49,1026,19.3,ENE,6
Bangalore,2025-05-27T15:42:57.705639,83,1009,24.2,WSW,17.9
Kolkata,2025-05-27T15:42:57.185519,89,998,29.1,SSE,4.9
Sikkim,2025-05-27T15:13:01.146008,84,1004,22.8,N,3.4
Hyderabad,2025-05-27T15:13:00.735767,89,1004,25.3,W,13
Pune,2025-05-27T15:13:00.370398,93,1004,23.5,W,6.9
Patna,2025-05-27T15:13:00.023620,59,997,33,E,12.1
Dehradun,2025-05-27T15:12:59.689523,51,999,26.6,NE,5.1
Kashmir,2025-05-27T15:12:59.341133,10,992,42.1,WSW,9.4
Chennai,2025-05-27T15:12:59.001695,75,1001,30.1,WSW,13.4
Mumbai,2025-05-27T15:12:58.656482,84,1002,26.3,W,19.2
Delhi,2025-05-27T15:12:58.323361,50,1025,18.4,ESE,13
Bangalore,2025-05-27T15:12:57.979701,83,1009,24.1,W,17.7
Kolkata,2025-05-27T15:12:57.448178,84,998,29.1,SSE,5.6
Sikkim,2025-05-27T14:43:01.877646,84,1004,22.8,N,3.4
Hyderabad,2025-05-27T14:43:01.526834,89,1004,25.3,W,13
Pune,2025-05-27T14:43:01.181800,93,1004,23.5,W,6.9
Patna,2025-05-27T14:43:00.838952,59,997,33.2,E,12.1
Dehradun,2025-05-27T14:43:00.502011,51,999,26.6,NE,5.1
Kashmir,2025-05-27T14:43:00.150931,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:42:59.779940,75,1000,30.4,WSW,13.4
Mumbai,2025-05-27T14:42:59.436979,84,1001,26,W,19.2
Delhi,2025-05-27T14:42:59.101796,50,1026,18.4,ESE,12.8
Bangalore,2025-05-27T14:42:58.762185,83,1009,24.3,W,17.7
Kolkata,2025-05-27T14:42:58.104525,84,998,29.3,SSE,5.6
Sikkim,2025-05-27T14:12:59.910371,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:12:59.568484,79,1003,27.1,WSW,9.8
Pune,2025-05-27T14:12:59.197914,92,1003,23.5,WSW,8.5
Patna,2025-05-27T14:12:58.827459,56,997,34.4,E,12.3
Dehradun,2025-05-27T14:12:58.490457,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:12:58.154694,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:12:57.752094,75,1000,30.1,WSW,14.1
Mumbai,2025-05-27T14:12:57.401340,79,1001,27.3,W,18.6
Delhi,2025-05-27T14:12:57.036886,50,1026,17.8,ESE,12.8
Bangalore,2025-05-27T14:12:56.688283,83,1008,24.2,W,19.2
Kolkata,2025-05-27T14:12:56.210036,89,997,29.1,SSE,6
Sikkim,2025-05-27T14:10:25.304165,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:10:25.124029,79,1003,27.1,WSW,9.8
Pune,2025-05-27T14:10:24.944165,83,1002,24.8,W,10.3
Patna,2025-05-27T14:10:24.745070,56,997,34.4,E,12.3
Dehradun,2025-05-27T14:10:24.565637,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:10:24.387634,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:10:24.198329,75,1000,30.1,WSW,14.1
Mumbai,2025-05-27T14:10:24.006726,79,1001,27.3,W,18.6
Delhi,2025-05-27T14:10:23.826207,50,1026,17.8,ESE,12.8
Bangalore,2025-05-27T14:10:23.648127,83,1008,24.2,W,19.2
Kolkata,2025-05-27T14:10:23.327608,89,997,29.1,SSE,6
Sikkim,2025-05-27T14:08:27.200019,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:08:26.853209,79,1003,27.1,WSW,9.8
Pune,2025-05-27T14:08:26.427983,83,1002,24.8,W,10.3
Patna,2025-05-27T14:08:26.017206,56,997,34.4,E,12.3
Dehradun,2025-05-27T14:08:25.672217,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:08:25.332435,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:08:24.990596,75,1000,30.1,WSW,14.1
Mumbai,2025-05-27T14:08:24.655625,79,1001,27.3,W,18.6
Delhi,2025-05-27T14:08:24.290020,50,1026,17.8,ESE,12.8
Bangalore,2025-05-27T14:08:23.950802,83,1008,24.2,W,19.2
Kolkata,2025-05-27T14:08:23.433343,89,997,29.1,SSE,6
Sikkim,2025-05-27T14:06:25.357378,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:06:25.171558,79,1003,27.1,WSW,9.8
Pune,2025-05-27T14:06:24.984571,92,1003,23.5,WSW,8.5
Patna,2025-05-27T14:06:24.808986,56,997,34.4,E,12.3
Dehradun,2025-05-27T14:06:24.626149,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:06:24.446749,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:06:24.246528,75,1000,30.1,WSW,14.1
Mumbai,2025-05-27T14:06:24.046621,79,1001,27.3,W,18.6
Delhi,2025-05-27T14:06:23.872526,50,1026,17.8,ESE,12.8
Bangalore,2025-05-27T14:06:23.689303,83,1008,24.2,W,19.2
Kolkata,2025-05-27T14:06:23.367638,89,997,29.1,SSE,6
Sikkim,2025-05-27T14:04:27.090397,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:04:26.751207,79,1003,27.1,WSW,9.8
Pune,2025-05-27T14:04:26.398673,92,1003,23.5,WSW,8.5
Patna,2025-05-27T14:04:26.051231,56,997,34.4,E,12.3
Dehradun,2025-05-27T14:04:25.700816,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:04:25.353304,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:04:25.012561,75,1000,30.1,WSW,14.1
Mumbai,2025-05-27T14:04:24.635509,79,1001,27.3,W,18.6
Delhi,2025-05-27T14:04:24.284551,50,1026,17.8,ESE,12.8
Bangalore,2025-05-27T14:04:23.934412,83,1008,24.2,W,19.2
Kolkata,2025-05-27T14:04:23.431783,89,997,29.1,SSE,6
Sikkim,2025-05-27T14:02:25.489561,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:02:25.306299,79,1003,27.3,WSW,9.8
Pune,2025-05-27T14:02:25.128359,92,1003,23.5,WSW,8.5
Patna,2025-05-27T14:02:24.945175,56,997,34.3,E,12.3
Dehradun,2025-05-27T14:02:24.768638,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:02:24.588535,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:02:24.404432,75,1000,30,WSW,14.1
Mumbai,2025-05-27T14:02:24.221751,79,1001,27.1,W,18.6
Delhi,2025-05-27T14:02:23.928732,59,1026,16,E,12.8
Bangalore,2025-05-27T14:02:23.727551,83,1008,24,W,19.2
Kolkata,2025-05-27T14:02:23.387146,89,997,29.1,SSE,6
Sikkim,2025-05-27T14:00:27.235962,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T14:00:26.891274,79,1003,27.3,WSW,9.8
Pune,2025-05-27T14:00:26.554385,92,1003,23.5,WSW,8.5
Patna,2025-05-27T14:00:26.185889,56,997,34.3,E,12.3
Dehradun,2025-05-27T14:00:25.815116,48,998,27.6,ENE,4
Kashmir,2025-05-27T14:00:25.455754,9,992,43.8,SW,8.3
Chennai,2025-05-27T14:00:25.106968,75,1000,30,WSW,14.1
Mumbai,2025-05-27T14:00:24.769135,79,1001,27.1,W,18.6
Delhi,2025-05-27T14:00:24.437182,59,1026,16,E,12.8
Bangalore,2025-05-27T14:00:24.071006,83,1008,24,W,19.2
Kolkata,2025-05-27T14:00:23.562083,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:58:25.429126,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:58:25.252855,79,1003,27.3,WSW,9.8
Pune,2025-05-27T13:58:25.067947,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:58:24.891218,56,997,34.3,E,12.3
Dehradun,2025-05-27T13:58:24.710022,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:58:24.527944,8,991,45.7,W,6.7
Chennai,2025-05-27T13:58:24.351122,75,1000,30,WSW,14.1
Mumbai,2025-05-27T13:58:24.147683,79,1001,27.1,W,18.6
Delhi,2025-05-27T13:58:23.966407,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:58:23.783310,83,1008,24,W,19.2
Kolkata,2025-05-27T13:58:23.433753,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:56:27.116043,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:56:26.765939,79,1003,27.3,WSW,9.8
Pune,2025-05-27T13:56:26.410796,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:56:26.075106,56,997,34.3,E,12.3
Dehradun,2025-05-27T13:56:25.731204,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:56:25.398938,8,991,45.7,W,6.7
Chennai,2025-05-27T13:56:25.054327,75,1000,30,WSW,14.1
Mumbai,2025-05-27T13:56:24.709229,79,1001,27.1,W,18.6
Delhi,2025-05-27T13:56:24.356558,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:56:24.010344,83,1008,24,W,19.2
Kolkata,2025-05-27T13:56:23.534044,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:54:25.188317,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:54:24.988882,79,1003,27.3,WSW,9.8
Pune,2025-05-27T13:54:24.808150,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:54:24.631018,56,997,34.3,E,12.3
Dehradun,2025-05-27T13:54:24.450594,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:54:24.248385,8,991,45.7,W,6.7
Chennai,2025-05-27T13:54:24.067237,75,1000,30,WSW,14.1
Mumbai,2025-05-27T13:54:23.891425,79,1001,27.1,W,18.6
Delhi,2025-05-27T13:54:23.711954,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:54:23.527989,83,1008,24,W,19.2
Kolkata,2025-05-27T13:54:23.209701,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:52:27.035293,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:52:26.697726,79,1003,27.3,WSW,9.8
Pune,2025-05-27T13:52:26.355104,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:52:26.013763,56,997,34.3,E,12.3
Dehradun,2025-05-27T13:52:25.671067,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:52:25.334380,8,991,45.7,W,6.7
Chennai,2025-05-27T13:52:24.994337,75,1000,30,WSW,14.1
Mumbai,2025-05-27T13:52:24.629474,79,1001,27.1,W,18.6
Delhi,2025-05-27T13:52:24.293748,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:52:23.954846,83,1008,24,W,19.2
Kolkata,2025-05-27T13:52:23.473607,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:50:25.489088,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:50:25.308907,79,1003,27.3,WSW,9.8
Pune,2025-05-27T13:50:25.129221,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:50:24.929234,56,997,34.3,E,12.3
Dehradun,2025-05-27T13:50:24.729799,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:50:24.528760,8,991,45.7,W,6.7
Chennai,2025-05-27T13:50:24.352184,75,1000,30,WSW,14.1
Mumbai,2025-05-27T13:50:24.171847,79,1001,27.1,W,18.6
Delhi,2025-05-27T13:50:23.989895,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:50:23.810813,83,1008,24,W,19.2
Kolkata,2025-05-27T13:50:23.495975,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:48:27.237466,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:48:26.899180,79,1003,27.3,WSW,9.8
Pune,2025-05-27T13:48:26.551500,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:48:26.193326,56,997,34.3,E,12.3
Dehradun,2025-05-27T13:48:25.832054,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:48:25.466043,8,991,45.7,W,6.7
Chennai,2025-05-27T13:48:25.114804,75,1000,30,WSW,14.1
Mumbai,2025-05-27T13:48:24.743119,79,1001,27.1,W,18.6
Delhi,2025-05-27T13:48:24.372027,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:48:24.036145,83,1008,24,W,19.2
Kolkata,2025-05-27T13:48:23.559101,89,997,29.1,SSE,6
Sikkim,2025-05-27T13:46:25.307920,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:46:25.129429,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:46:24.949292,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:46:24.768202,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:46:24.569403,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:46:24.392621,8,991,45.7,W,6.7
Chennai,2025-05-27T13:46:24.192669,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:46:24.014406,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:46:23.832949,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:46:23.649324,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:46:23.313055,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:44:27.251092,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:44:26.916680,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:44:26.554785,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:44:26.213191,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:44:25.870204,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:44:25.419144,8,991,45.7,W,6.7
Chennai,2025-05-27T13:44:25.075238,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:44:24.732211,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:44:24.396569,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:44:24.061044,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:44:23.580095,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:42:25.310949,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:42:25.132660,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:42:24.931340,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:42:24.749688,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:42:24.572425,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:42:24.390716,8,991,45.7,W,6.7
Chennai,2025-05-27T13:42:24.208587,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:42:24.010815,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:42:23.832766,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:42:23.661771,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:42:23.360721,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:40:27.602458,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:40:26.898614,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:40:26.527170,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:40:26.154962,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:40:25.809775,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:40:25.477805,8,991,45.7,W,6.7
Chennai,2025-05-27T13:40:25.137881,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:40:24.792556,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:40:24.435130,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:40:24.079576,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:40:23.576719,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:38:25.091309,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:38:24.911405,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:38:24.731524,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:38:24.550016,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:38:24.369821,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:38:24.193521,8,991,45.7,W,6.7
Chennai,2025-05-27T13:38:23.996133,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:38:23.813231,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:38:23.630190,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:38:23.445343,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:38:23.269876,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:36:27.142594,83,1003,23.1,N,2.2
Hyderabad,2025-05-27T13:36:26.796836,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:36:26.449708,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:36:26.095047,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:36:25.719370,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:36:25.360651,8,991,45.7,W,6.7
Chennai,2025-05-27T13:36:25.022018,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:36:24.647288,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:36:24.301908,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:36:23.936881,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:36:23.431507,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:34:25.255173,82,1002,23.6,SE,2.2
Hyderabad,2025-05-27T13:34:25.075992,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:34:24.891776,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:34:24.712504,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:34:24.531909,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:34:24.351903,8,991,45.7,W,6.7
Chennai,2025-05-27T13:34:24.175176,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:34:23.990786,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:34:23.810671,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:34:23.630871,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:34:23.291862,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:32:26.995776,82,1002,23.6,SE,2.2
Hyderabad,2025-05-27T13:32:26.657389,66,1002,29.1,WSW,9.8
Pune,2025-05-27T13:32:26.311763,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:32:25.961815,56,997,34.2,E,12.3
Dehradun,2025-05-27T13:32:25.619584,48,998,27.6,ENE,4
Kashmir,2025-05-27T13:32:25.280586,8,991,45.7,W,6.7
Chennai,2025-05-27T13:32:24.936421,67,1000,32.3,WSW,14.1
Mumbai,2025-05-27T13:32:24.591871,84,1000,26.2,W,18.6
Delhi,2025-05-27T13:32:24.255530,50,1026,17.8,E,12.8
Bangalore,2025-05-27T13:32:23.918009,79,1007,25.2,W,19.2
Kolkata,2025-05-27T13:32:23.413080,84,997,30.2,SSE,6
Sikkim,2025-05-27T13:30:25.412011,82,1002,23.6,SE,2.2
Hyderabad,2025-05-27T13:30:25.231609,66,1002,29,W,8.1
Pune,2025-05-27T13:30:25.052912,92,1003,23.5,WSW,8.5
Patna,2025-05-27T13:30:24.871855,56,997,34.2,E,10.5
